area,category,title,postedtime,updatedtime,url,description
gbs,nfb,$2750 / 1br - 650ft² - Ready For November Renovated 1br Upper Floor Condo !Fee Negotiable! (South End),2014-10-02  1:57pm,2014-10-22  9:39am,http://boston.craigslist.org/gbs/nfb/4696136338.html,"        perfectly situated between back bay station and the south end's restaurant row, this entirely renovated upper floor condo brings in modern amenities while still showcasing a few original details. the floor through condo takes full advantage of the three front facing windows with 10' ceiling heights and some tastefully exposed brick. the great room takes in plenty of light and has been left open with only a detailed archway to separate the living and dining areas. the gourmet kitchen features stone counters, white shaker cabinets, and stainless steel appliances with gas cooking. on the back side of the unit is a large bedroom with brand new hardwood floors, an original marble fireplace mantle, and a great closet. the bathroom features new tile throughout, marble counters on the vanity's, and a stacked washer/dryer.   new floors, new kitchen, new bathroom, freshly plastered walls, and more.   **interior pictures are samples from the contractors most recent project on w canton.
    "
gbs,fee,$1600 / 2br - * NEW * Large Brighton Center 2BR with Hardwood Floors (Brighton),2014-10-08  4:55pm,2014-10-22  9:39am,http://boston.craigslist.org/gbs/fee/4705576741.html,"        large 2br/1 bath in brighton center, spotless hardwood floors through out, new windows, wonderful natural light and plenty of street parking! owner-occupied and well-maintained, there are 2 large bedrooms and an eat-in kitchen. take the 57 express bus to be at kenmore in 10-12 minutes. also convenient mass pike & storrow drive access. plenty of restaurants and shops in the area as well. tenant pays gas heat.

available now!

for showings, please call/text mike valencius of metro realty at 
 show contact info
or email 
 show contact info
 at your earliest convenience!
    "
gbs,nfb,$1250 / 1br - 1300ft² - Roommate Wanted for Remodeled 3br/2ba !Fee Negotiable! (South End),2014-09-24 10:15am,2014-10-22  9:39am,http://boston.craigslist.org/gbs/nfb/4683197247.html,"        great bedroom available in this newly renovated 3br/2ba duplex! new kitchen, bathrooms, windows, lights, everything! upstairs has a bedroom, bathroom, kitchen, and the living/dining area. downstairs are the other two bedrooms, a bathroom, and the private laundry room."
gbs,abo,$2340 / 1br - 784ft² - Would you like to receive a $1000 GC and a kindle touch?! (Watertown),2014-10-22  9:40am,2014-10-22  9:40am,http://boston.craigslist.org/gbs/abo/4726265446.html,"                                                               welcome to alta at the estate!


hello all! 

happy (almost) autumn! thank you for your interest into alta at the estate, we greatly appreciate it. we are a brand new luxury apartment community, here in the charming town of watertown ma, and we boast gorgeous aesthetics. alta at the estate offers spacious one and two bedroom apartment homes, with square footages ranging from 756 sq ft -- 1444 sq ft. our location is spectacular, as we are within close proximity to 128 and 90!

our shared community spaces include a stunning clubroom with billiards, media room with surround sound, xbox and playstation 4! 24 hour fitness and yoga rooms!  our grounds incorporate a lovely (heated) salt water swimming pool, two stainless steel gas grills and a gas fire place! 

our apartment homes have soaring ceilings, 9ft and great big windows, allowing for lots of natural light to pour in. our kitchen spaces have beautiful espresso colored cabinetry, granite countertops, stainless finish appliances, and electric cooking! our tubs are perfect for soaking, and our closet space is plentiful. 

we are open 6 days a week; monday-friday 10-6, and saturday 10-5, and we take our last appointment one hour prior to closing. please, if possible, please call ahead to book your appointments! 


please note that we are a smoke free community!


thanks very much,

bonnie lunardi
residential sales specialist

alta at the estate
www.altaattheestate.com

100 woodview way
watertown, ma 02472
show contact info"
gbs,nfb,$1250 / 1br - 1300ft² - ROOMMATES Bedroom Available !Fee Negotiable! (South End),2014-09-22  2:16pm,2014-10-22  9:39am,http://boston.craigslist.org/gbs/nfb/4680330833.html,"        great bedroom available in this newly renovated 3br/2ba duplex! new kitchen, bathrooms, windows, lights, everything! upstairs has a bedroom, bathroom, kitchen, and the living/dining area. downstairs are the other two bedrooms, a bathroom, and the private laundry room. 

the other two students are both local med students.
    "
gbs,fee,$2350 / 2br - WOW!STUNNING LUXURY 2 BR*VIEWS*CONCIERGE*ALL UTILITIES* GYM*Storage (Cambridge - West Cambridge),2014-10-22  9:19am,2014-10-22  9:19am,http://boston.craigslist.org/gbs/fee/4726238652.html,"        id: 1580115
location: huron, cambridge (west cambridge)
rent: $2350 / month
broker fee: other
available date: november 15th
beds: 2
baths: 1
pet: cat ok
rent includes: electricity, gas, heat, hot water

features: parking for rent


call today! this stunning 1 br offers stylish, contemporary living with stunning city and country views. fully equipped designer kitchens and high-end finishes throughout. spacious living area, exceptional large closets and an abundance of on site amenities. enjoy fresh pond* direct bus to harvard! very convenient to rt 2* whole foods* trader joe's* mt. auburn


•	all utilities included -- heat, hot water, gas, electric, ac, laundry & internet
•	free public parking or available garage parking, only $95 per month
•	24 hour concierge 
•	fitness center
•	toddler room
•	convenient for shops & amenities of fresh pond mall & huron village 
•	recreation: fresh pond golf course, walking trails and athletic fields
•	free bicycle room
•	additional storage if required


beautiful west cambridge apartments near fresh pond!

these apartments offer the pleasures of graceful apartment community living to those who truly demand the best. known for its secluded atmosphere, these apartments boast more than two miles of sweeping views of the boston skyline, dramatic scenery of fresh pond and a multitude of activities for our residents. 
all the details have been perfectly combined: state-of-the-art fitness facility; a new community room with flat screen tv and billiard table; a toddler play room; outdoor playground and picnic grilling area; bike room; a designer lobby and landscaped grounds; 24-hour concierge; 24 hour emergency maintenance; available garage parking. we invite you to experience the ultimate in relaxation and exclusivity. reserve your own luxury apartment home in west cambridge and discover a destination unlike any other.


lauren miller
show contact info


channing real estate
1776 massachusetts avenue #10, cambridge, ma 02140
show contact info

show contact info
(fax)



the above information is deemed reliable but not guaranteed and is subject to change. this offering is subject to prior rental, price change, or withdrawal without notice.
    "
gbs,nfb,$2750 / 1br - 650ft² - Must See Upper Floor Condo in Superb Location !Fee Negotiable! (South End),2014-10-10  9:38am,2014-10-22  9:39am,http://boston.craigslist.org/gbs/nfb/4707924837.html,"        there are only a few more details to be finished for this one bedroom's transformation to be complete. it is a floor through unit, well laid out with a large front facing living/dining area that overlooks the park on warren. while the large bowed window makes the living room large, there is still a separate alcove through a beautiful archway that is perfect for a dining table or office space. the brand new kitchen with stainless steel appliances and stone counters is left open to the living/dining room giving the space much more natural light. in the back is the large bedroom which enjoys the tranquility provided by dartmouth square. 

6 minute walk to back bay station.
less then 10 minutes walking distance to aquitane, cafe madeleine, the butcher shop, wink n nod, stella, foodies, 570 market, render coffee, starbucks, the south end buttery, and more.
    "
gbs,fee,$2300 / 1br - Beacon Hill One Bed With In Unit Laundry ,2014-10-22  9:31am,2014-10-22  9:31am,http://boston.craigslist.org/gbs/fee/4726253509.html,"        - eat in kitchen
- hardwood floors
- high ceilings
- laundry in unit
- modern bathroom
- modern kitchen
- new windows
- roof deck
- storage
- rent includes hot water and heat 
- luxury concierge available upon request
- listing sheet (including pictures) available upon request
    "
nos,fee,$1444 / 1br - Luxury 1 Bedroom- (Saugus),2014-10-16 12:48pm,2014-10-22  9:39am,http://boston.craigslist.org/nos/fee/4717408235.html,"        id: 787932
rent: $1444 / month
broker fee: one month
available date: now
beds: 1
baths: 1

features: balcony, central air, dishwasher, disposal, high ceiling, laundry in building, laundry in unit, on-site super, security system, swimming pool


this luxury apartment community in saugus is different from others that you have seen around. look around at this apartment community and you will soon realize how quiet this community is. the apartments are really a home style apartment and with all that they have to offer in the apartment such as large layouts, washer and dryer in the unit, fully appliance kitchens, large bedroom areas, ample closet space, balcony and or patio makes this the place to be. along with that the amenities offers here are second to none with a pool, hot tub, indoor basketball court, 24 hour fitness facility and a community room gives you a lot more with you apartment. come on in today!


call me to set up a private showing or to ask me any questions you may have regarding this luxury apartment community in saugus


also other properties revere,malden,melrose, medford, saugus, chelsea,  everett


boston commonwealth
boston commonwealth real estate
show contact info

show contact info"
gbs,fee,$4400 / 2br - 1025ft² - Renovated Corner Unit in Luxury Metropolitan Condos !Fee Negotiable! (Tufts Medical),2014-10-10  9:26am,2014-10-22  9:39am,http://boston.craigslist.org/gbs/fee/4707908761.html,"        located on the 21st for of the metropolitan is this stunning open floor plan unit with breathtaking views! 

~ huge living/dining room taking full advantage of the views with walls of glass

~gourmet kitchen with granite counters, stainless steel appliances, gas range, etc
*there is a small office work space tucked in a closet off of the 

~master bedroom with walk-in-closet and in-suite bathroom

~large second bedroom with room for a queen size bed frame, night stand, desk, and more

~2nd bathroom has a single vanity and a shower/tub

~only pay electric and internet
    "
gbs,nfb,$4400 / 2br - 1025ft² - 2br/2ba Luxury High Rise Condo with Parking !Fee Negotiable! (Midtown),2014-10-10  9:16am,2014-10-22  9:39am,http://boston.craigslist.org/gbs/nfb/4707897077.html,"        located on the 21st for of the metropolitan is this stunning open floor plan unit with breathtaking views! 

~ huge living/dining room taking full advantage of the views with walls of glass

~gourmet kitchen with granite counters, stainless steel appliances, gas range, etc
*there is a small office work space tucked in a closet off of the 

~master bedroom with walk-in-closet and in-suite bathroom

~large second bedroom with room for a queen size bed frame, night stand, desk, and more

~2nd bathroom has a single vanity and a shower/tub

~only pay electric and internet
    "
bmw,off,$15 / 400ft² - Warehouse Space w/ loading Dock 400-900 sf (sublet) (Needham),2014-10-22  9:44am,2014-10-22  9:44am,http://boston.craigslist.org/bmw/off/4726270041.html,"        we have approximately 400 - 900 sq. ft of unused space in our warehouse in needham, and are looking to sublet it for dead storage.  great handy heights location - hi ceilings, loading dock.  $12.50-$15 psf.
depending on the size of the space you need, we can adjust the rate slightly.

we will also consider alternative arrangement like drop ship service.  if you have a product that you are shipping, we could for a fee, store it in our facility and ship it out daily from our dock."
gbs,nfb,$1800 / 1br - 620ft² - Renovated Upper Floor Condo with Roof Deck and Laundry!Fee Negotiable! (South Boston),2014-10-10  9:11am,2014-10-22  9:39am,http://boston.craigslist.org/gbs/nfb/4707890156.html,"        great one bedroom condo, located below thomas park, close to the t and broadway shops. large closet space and recently done cosmetic work throughout, including an updated kitchen and a spacious living area. access to a large common roof deck with some of the best views in southie and common laundry in the basement."
gbs,nfb,$1250 / 1br - 1300ft² - 1Br for a Roommate in a 3br/2ba Remodeled Apt !Fee Negotiable! (South End),2014-09-29  9:27am,2014-10-22  9:38am,http://boston.craigslist.org/gbs/nfb/4690730661.html,"        great bedroom available in this newly renovated 3br/2ba duplex! new kitchen, bathrooms, windows, lights, everything! upstairs has a bedroom, bathroom, kitchen, and the living/dining area. downstairs are the other two bedrooms, a bathroom, and the private laundry room.
    "
gbs,abo,$2245 / 561ft² - Very spacious studio with excellent closet space! (Boston),2014-10-22  9:33am,2014-10-22  9:33am,http://boston.craigslist.org/gbs/abo/4726256830.html," call us today! 
show contact info
x345 cityview at longwoodstudio 1 bath   561sqft   $2,245 - $2,315  description:  studio apartment home available for rent at cityview at longwood. this beautiful apartment home has a fully equipped kitchen air conditioning and beautiful interiors throughout. to view this apartment please schedule an appointment or stop by today.  located on the green line at the longwood medical t stop and academic area, with easy access to the mass pike, huntington avenue (route 9), and the mbta orange line. our pet friendly apartments feature large balconies, and incredible views of the boston skyline.  75 st alphonsus st  boston, ma 02120  property website:  http://www.eqrworld.com/massachusetts/boston-apartments/longwood/cityview-at-longwood-apartments.aspx?ilsid=93"
gbs,fee,$2935 / 2br - Walking Distance to Mass General Hospital,2014-10-22  8:45am,2014-10-22  8:45am,http://boston.craigslist.org/gbs/fee/4726203859.html,"        so close to everything boston has to offer. t accessible (green line, orange line, red line) walking distance to charles/mgh! can't find much better than this!!!

living

    linen closets
    wood-style flooring
    views
    walk-in closets

kitchen

    dishwasher
    frost free refrigerator
    microwave
    fully-equipped kitchen

security

    interior sprinkler system

convenience

    high speed internet access available
    air conditioning

features may vary by apartment
community
outdoor

    basketball court
    enclosed dog park
    walking trails

indoor

    cable/satellite tv

location

    public transportation

common

    bike trails
    concierge service
    courtesy officer
    elevator
    extra storage
    laundry facility
    package service
    playground
    swimming pool
    tennis court (s)
    valet dry cleaning service
    smoke free living


contact dave cividino - boston city properties - 
 show contact info
- or reply directly to this ad!

i also have listings in literally every single luxury rental building in the greater boston area, and also have access to hundreds of individually owned condos for rent! october, november 1, december 1st

*********
i also have listings that are convenient to boston, back bay, boston common, downtown boston, financial district, waterfront, seaport district, south end, west end, charlestown, cambridge, kendall, mit, central square, lechmere, cambridge galleria, green line, harvard square, fresh pond, alewife, south boston, red line, dorchester, newton, east boston, medford, somerville, orange line, blue line, allston, brighton, fenway, longwood, brookline, north end, beacon hill, chinatown, mgh, west end, waltham."
gbs,nfb,$1250 / 1br - 1300ft² - ROOMMATE 1br in a Newly Finished 3br/2ba with laundry !Fee Negotiable! (South End),2014-09-24  9:54am,2014-10-22  9:38am,http://boston.craigslist.org/gbs/nfb/4683165969.html,"        great bedroom available in this newly renovated 3br/2ba duplex! new kitchen, bathrooms, windows, lights, everything! upstairs has a bedroom, bathroom, kitchen, and the living/dining area. downstairs are the other two bedrooms, a bathroom, and the private laundry room. 
    "
gbs,nfb,$2750 / 1br - 650ft² - Renovated Warren Ave 1 Bedroom !Fee Negotiable! (South End),2014-10-09  9:36am,2014-10-22  9:38am,http://boston.craigslist.org/gbs/nfb/4706368049.html,"         it is a floor through unit, well laid out with a large front facing living/dining area that overlooks the park on warren. while the large bowed window makes the living room large, there is still a separate alcove through a beautiful archway that is perfect for a dining table or office space. the brand new kitchen with stainless steel appliances and stone counters is left open to the living/dining room giving the space much more natural light. in the back is the large bedroom which enjoys the tranquility provided by dartmouth square. 

6 minute walk to back bay station
less than 10 minutes walking distance to the butcher shop, wink n nod, stella, etc"
